DPTO,DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p
91,Amazonas,413,433,442,457,470,486,501,520,541,563,593,614,630,648,666,615
5,Antioquia,73923,79224,84784,86216,85660,88492,95753,99629,104012,111129,115446,119046,120973,125173,129672,121300
81,Arauca,5044,5102,5538,5779,5768,5284,5078,4820,4672,4310,4534,4272,4168,4293,4596,4565
8,Atlántico,22122,23863,26106,26748,26736,26633,28126,30066,31664,33772,35716,36347,36779,37610,38690,36173
11,Bogotá D.C.,135215,144141,153259,158293,161609,167409,176870,183104,190160,198996,206478,210683,214484,221652,229314,214485
13,Bolívar,18886,20196,21861,22152,22107,23077,25159,25784,28346,27793,28105,29285,30271,30804,31920,28623
15,Boyacá,13069,13694,15467,16573,16726,17346,18969,19556,20127,20986,22165,22341,22574,23237,23732,21709
17,Caldas,9411,10154,10745,10927,10424,10675,10696,10777,11462,12106,12514,12821,13043,13395,13798,13174
18,Caquetá,2088,2173,2336,2461,2544,2573,2664,2982,3156,3323,3350,3427,3454,3525,3596,3387
85,Casanare,10004,9426,8855,8981,9261,9781,11276,11992,12667,13430,13305,12938,12960,13291,13493,12245
19,Cauca,8247,8749,9212,9806,9840,10528,10924,11911,13291,13899,14622,14975,14876,15139,15614,14630
20,Cesar,9076,9825,10446,10858,11135,11559,12873,13697,13588,14391,14570,15676,16123,16090,16646,14256
27,Chocó,2531,2537,2588,2732,3136,3794,4031,3877,3547,3472,3571,3765,3482,3202,3341,3264
23,Córdoba,10343,10795,11700,11089,11377,11608,11547,12684,13141,13684,13657,13731,13920,14196,14774,13915
25,Cundinamarca,29886,31300,33897,36147,36256,38164,41524,43036,44776,46230,48055,49601,50409,51551,52890,49779
94,Guainía,209,236,224,242,246,253,255,273,290,292,307,307,304,313,322,293
95,Guaviare,523,548,596,573,556,548,561,581,609,647,677,676,692,693,715,683
41,Huila,9838,9877,10427,10947,11105,11724,12504,12769,13310,13915,13805,13636,13212,13369,13754,13144
44,La Guajira,6185,6618,6975,7343,7447,7538,8006,8438,8480,8721,8666,8891,8996,8977,8955,6684
47,Magdalena,7062,7232,7596,8312,8833,9138,9314,9722,10239,10128,10514,10869,10990,11248,11525,10832
50,Meta,9877,11050,11677,13990,16992,21270,25834,27811,30819,29878,30712,28904,29022,29404,30800,28105
52,Nariño,7862,8682,9037,9031,9239,9259,9828,10376,11037,11569,12230,12760,12441,12643,13064,12501
54,Norte de Santander,8050,8981,9662,10288,10587,10706,10947,11117,11696,12253,12534,13041,12940,13347,13550,12804
86,Putumayo,1492,1627,1825,2034,2482,2819,2927,2905,3600,3780,3481,3450,3386,3393,3284,2830
63,Quindío,4205,4736,4946,4986,4933,5104,5456,5869,5933,6104,6381,6624,6736,6793,6968,6550
66,Risaralda,9093,9899,10074,10272,10336,10503,10665,10978,11815,12367,12656,13027,13202,13551,13969,13185
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",813,872,943,942,969,985,1037,1078,1148,1199,1253,1305,1343,1373,1416,1139
68,Santander,33528,35774,38353,40471,40212,42786,44685,45841,47680,52135,51999,53175,54065,54942,56515,51681
70,Sucre,4033,4409,4750,4910,5199,5206,5553,5855,6134,6469,6577,6807,6982,7108,7366,6928
73,Tolima,12491,13278,14601,14863,14817,14820,15312,15830,16616,17182,17381,17708,17936,18120,18512,17237
76,Valle del Cauca,51787,56386,61010,62367,62817,63805,66670,69201,72246,75901,78074,80022,81447,84172,87023,81835
97,Vaupés,137,147,169,178,184,190,201,201,217,225,233,236,239,248,257,237
99,Vichada,393,414,453,467,479,483,437,455,488,490,529,529,541,556,581,554
